"id","STR_TO_DATE(date_time, '%m/%d/%Y')","kwh_consumed","kwh_generated","max_consumed","max_generated","min_consumed","min_generated","latitude","longitude"
825120,"2014-07-01",0.3408209959623145,0,4.18,0,0.06,0,42.872886,-73.195007
813232,"2014-07-01",0.7477792732166885,0,2.8,0,0.07,0,42.87434,-72.899558
756444,"2014-07-01",0.3064602960969048,0,1.91,0,0.08,0,42.974243,-72.52028
487686,"2014-07-01",0.831682368775235,0,2.06,0,0.07,0,42.975751,-72.523253
818433,"2014-07-01",0.046339165545087366,0,0.67,0,0,0,43.003411,-72.49355
436419,"2014-07-01",0.2915746971736195,0,3.97,0,0.07,0,43.139607,-72.501378
801019,"2014-07-01",0.19040376850605661,0,4.81,0,0.04,0,43.654734,-72.323345
841682,"2014-07-01",0.30483176312247584,0,4.22,0,0.04,0,43.656801,-72.875521
817690,"2014-07-01",0.15406460296096905,0,1.55,0,0,0,43.66173,-73.039723
838710,"2014-07-01",0.9726244952893736,0,6.04,0,0.12,0,43.678928,-72.305316
714633,"2014-07-01",0.33349932705248997,0,0.73,0,0.11,0,43.681794,-72.399531
459452,"2014-07-01",0.35364737550470926,0,3.46,0,0.14,0,43.728226,-72.297608
565434,"2014-07-01",0.3346433378196494,0,5.68,0,0,0,43.795931,-73.080353
940750,"2014-07-01",0.4370524899057863,0,0.94,0,0,0,43.968643,-73.033338
420622,"2014-07-01",0.5335935397039033,0,4.13,0,0.05,0,43.97678,-72.74933
994035,"2014-07-01",0.000013458950201884253,0,0.01,0,0,0,44.023673,-72.602183
421869,"2014-07-01",1.8739165545087442,0,6.39,0,0.46,0,44.075723,-72.820778
14831,"2014-07-01",1.2625975773889633,0,6.6,0,0.43,0,44.101831,-72.436776
926200,"2014-07-01",0.33333781965006803,0,1.86,0,0.03,0,44.111146,-72.860884
470597,"2014-07-01",0.9916958277254365,0,4.69,0,0.17,0,44.118416,-72.541726
540219,"2014-07-01",0.5442261103633901,0,1.66,0,0.24,0,44.119096,-72.541088
924353,"2014-07-01",0.026904761904762018,0,0.2,0,0,0,44.1236,-72.1126
1036951,"2014-07-01",0.01676985195154753,0,0.13,0,0.01,0,44.124929,-72.506158
872145,"2014-07-01",0.1462853297442801,0,0.72,0,0.03,0,44.124958,-72.506176
419136,"2014-07-01",1.2532705248990572,0,5.69,0,0,0,44.1385,-72.844265
418393,"2014-07-01",0.13604306864064675,0,1.87,0,0,0,44.139191,-72.844369
263734,"2014-07-01",0.45940780619111743,0,3.19,0,0,0,44.140005,-72.853086
356276,"2014-07-01",0.35939434724091573,0,3.75,0,0,0,44.140025,-72.89373
944465,"2014-07-01",1.2350874831763126,0,4.47,0,0.23,0,44.147911,-72.403111
235907,"2014-07-01",0.43445491251682355,0,1.4,0,0.11,0,44.150936,-72.490788
100358,"2014-07-01",0.6687079407806197,0,6.85,0,0.13,0,44.151163,-72.487925
494153,"2014-07-01",0.33510094212651464,0,3.56,0,0.1,0,44.151546,-72.500411
1030372,"2014-07-01",0.21749663526244994,0,1.92,0,0.02,0,44.152297,-72.492158
237393,"2014-07-01",0.6117765814266487,0,4.52,0,0.17,0,44.152663,-72.498968
626673,"2014-07-01",0.8174293405114398,0,6.12,0,0.09,0,44.153272,-72.517486
132307,"2014-07-01",0.11209959623149364,0,2.64,0,0.04,0,44.155256,-72.432188
606299,"2014-07-01",0.9561238223418501,0,6.68,0,0.04,0,44.156921,-72.455171
496382,"2014-07-01",0.005504710632570654,0,0.03,0,0,0,44.158328,-72.468691
1028886,"2014-07-01",0.9349932705248999,0,7.1,0,0.19,0,44.158751,-72.452328
823634,"2014-07-01",0.3310094212651414,0,1.72,0,0.05,0,44.166038,-72.510413
761000,"2014-07-01",0.08156123822341839,0,0.37,0,0.04,0,44.168321,-73.250829
516443,"2014-07-01",1.3614266487213993,0,7.02,0,0.21,0,44.169365,-72.57194
453508,"2014-07-01",0.516554508748317,0,3.05,0,0.23,0,44.174843,-72.493468
350332,"2014-07-01",0.3899461641991914,0,3.17,0,0.12,0,44.176306,-72.504626
412449,"2014-07-01",0.93492597577389,0,4.82,0,0,0,44.176338,-72.81385
746785,"2014-07-01",0.14777927321668843,0,1.19,0,0.06,0,44.181361,-72.496046
415421,"2014-07-01",0.4812651413189768,0,3.8,0,0,0,44.187193,-72.485256
360734,"2014-07-01",0.9441722745625837,0,5.1,0,0.11,0,44.188629,-72.639165
986053,"2014-07-15",0.12105392156862757,0,0.61,0,0,0,44.189495,-72.83675
701259,"2014-07-01",0.5272139973082097,0,4.36,0,0.12,0,44.189528,-72.482696
495639,"2014-07-01",0.11841184387617812,0,1,0,0.01,0,44.190148,-72.47432
361477,"2014-07-01",0.4312651413189768,0,3.57,0,0.11,0,44.190201,-72.638096
630388,"2014-07-01",0.7453162853297438,0,5.57,0,0.15,0,44.190516,-72.481061
72819,"2014-07-01",0.2003633916554512,0,0.57,0,0,0,44.190553,-72.839545
359991,"2014-07-01",1.2997711978465687,0,6.37,0,0.3,0,44.19068,-72.642465
631131,"2014-07-01",0.18173620457604303,0,1.64,0,0.01,0,44.190735,-72.481103
783930,"2014-07-01",0.4230686406460298,0,1.92,0,0,0,44.190841,-72.500266
791360,"2014-07-01",1.2272409152086143,0,5.13,0,0.21,0,44.190921,-72.498028
906651,"2014-07-01",0.12897711978465629,0,0.93,0,0.1,0,44.190945,-72.497536
448307,"2014-07-01",0.30413189771197857,0,4.15,0,0.05,0,44.191006,-72.492503
235164,"2014-07-01",0.002462987886944818,0,0.39,0,0,0,44.191016,-72.496358
912584,"2014-07-01",0.4415343203230151,0,4.16,0,0.02,0,44.191055,-72.500741
70556,"2014-07-01",0.4388963660834451,0,3.82,0,0.13,0,44.191296,-72.481953
1009328,"2014-07-01",0.4050471063257071,0,5.43,0,0.11,0,44.191378,-72.496338
564691,"2014-07-01",0.2608344549125163,0,1.81,0,0.05,0,44.191885,-72.655071
779472,"2014-07-01",0.5826648721399731,0,5.03,0,0.07,0,44.191926,-72.495273
74305,"2014-07-01",0.4258546433378203,0,4.4,0,0.07,0,44.192321,-72.492486
760257,"2014-07-01",0.13041722745625872,0,0.41,0,0.03,0,44.192705,-72.494853
819176,"2014-07-01",0.05244952893674261,0,0.13,0,0,0,44.192991,-72.478761
724652,"2014-07-01",0.5272543741588158,0,5.94,0,0.06,0,44.193245,-72.495655
244080,"2014-07-01",0.046742934051144526,0,0.37,0,0,0,44.194095,-72.50746
84755,"2014-07-01",0.16419919246298717,0,3.57,0,0.04,0,44.19461,-72.49913
806220,"2014-07-01",0.202543741588156,0,0.89,0,0.04,0,44.194969,-72.504544
717605,"2014-07-01",0.2845895020188419,0,2.55,0,0.02,0,44.195239,-72.458601
355533,"2014-07-01",0.11359353970390308,0,0.73,0,0,0,44.195328,-72.476846
981306,"2014-07-01",0.3828532974427997,0,4.25,0,0.08,0,44.195718,-72.495996
764715,"2014-07-01",0.18173620457604314,0,3.28,0,0,0,44.196159,-72.887028
634103,"2014-07-01",1.2017900403768496,0,8.29,0,0.2,0,44.196234,-72.499893
535018,"2014-07-01",0.4354104979811574,0,3.23,0,0.1,0,44.196348,-72.497361
228477,"2014-07-01",0.4794616419919251,0,2.97,0,0.16,0,44.196351,-72.496676
358505,"2014-07-01",0.6341453566621813,0,4.73,0,0.21,0,44.196373,-72.511588
634846,"2014-07-01",0.6272274562584121,0,5.01,0,0.01,0,44.196431,-72.499965
101844,"2014-07-01",0.7268236877523546,0,4.97,0,0.11,0,44.197701,-72.517485
950170,"2014-07-01",0.035000000000000045,0,0.11,0,0.03,0,44.197723,-72.512883
737869,"2014-07-01",0.5906998654104988,0,3.8,0,0,0,44.19778,-72.519103
774271,"2014-07-01",0.49402422611036423,0,6.23,0,0.08,0,44.197805,-72.518013
721320,"2014-07-01",0.06125,0,0.49,0,0,0,44.198178,-72.49903
616271,"2014-07-01",0.5961372812920583,0,3.84,0,0.03,0,44.19822,-72.492911
637818,"2014-07-01",0.5967698519515483,0,4.08,0,0.13,0,44.198266,-72.498396
362220,"2014-07-01",0.7305248990578733,0,4.76,0,0.23,0,44.198491,-72.632238
780958,"2014-07-01",0.4635935397039031,0,4.46,0,0.06,0,44.198546,-72.496756
996312,"2014-07-01",0.055033647375504556,0,0.17,0,0.02,0,44.198571,-72.499095
362963,"2014-07-01",0.5695020188425305,0,6.87,0,0.04,0,44.198713,-72.632885
681198,"2014-07-01",0.2533378196500674,0,1.31,0,0,0,44.198733,-72.500548
635589,"2014-07-01",1.8904037685060533,0,7.84,0,0.49,0,44.198753,-72.497551
364449,"2014-07-01",0.16274562584118402,0,1.36,0,0.03,0,44.19876,-72.632633
873631,"2014-07-01",0.30432032301480416,0,1.98,0,0.07,0,44.198876,-72.51677
943722,"2014-07-01",0.747523553162852,0,3.84,0,0,0,44.198911,-72.488531
1045604,"2014-07-01",0.15944818304172262,0,3.26,0,0,0,44.198983,-72.495361
241108,"2014-07-01",0.7994347240915214,0,4.26,0,0.22,0,44.19906,-72.52297
365935,"2014-07-01",0.018021534320322757,0,0.1,0,0.01,0,44.199211,-72.63249
365192,"2014-07-01",0.026137281292059,0,0.31,0,0.02,0,44.199301,-72.631995
101101,"2014-07-01",0.40293405114401115,0,4.33,0,0.11,0,44.199329,-72.51867
363706,"2014-07-01",0.032247644683714924,0,0.57,0,0,0,44.199841,-72.632893
815461,"2014-07-01",0.2616016150740245,0,1.42,0,0.08,0,44.200038,-72.487905
1011557,"2014-07-01",0.024845222072678367,0,0.08,0,0,0,44.20004,-72.497826
569892,"2014-07-01",1.057187079407806,0,4.45,0,0.22,0,44.20055,-72.503848
795075,"2014-07-01",0.4879138627187073,0,2.66,0,0.08,0,44.20057,-72.500236
147167,"2014-07-01",1.1474697173620467,0,5.33,0,0.15,0,44.200968,-72.510865
135279,"2014-07-01",0.6057873485868105,0,2.71,0,0.21,0,44.201986,-72.5149
359248,"2014-07-01",0.00017496635262449528,0,0.07,0,0,0,44.202261,-72.638723
935908,"2014-07-01",0.2691251682368782,0,1.14,0,0,0,44.202363,-72.501763
759416,"2014-07-18",0.3351632047477753,0,3.63,0,0,0,44.202753,-72.501841
471340,"2014-07-01",0.35056527590847947,0,4.18,0,0,0,44.203378,-72.800576
529817,"2014-07-01",0.6968506056527585,0,5.17,0,0,0,44.203879,-72.80137
768430,"2014-07-01",0.9282099596231498,0,4.71,0,0.11,0,44.204681,-72.508148
162027,"2014-07-01",0.29133456904541233,0,6.18,0,0.01,0,44.204746,-72.497828
