"STR_TO_DATE(time_of_outage, '%m/%d/%Y')","count(*)"
"2012-09-17",1
"2012-09-18",8840
"2012-09-19",312
"2012-09-20",73
"2012-09-21",30
"2012-09-22",70
"2012-09-23",88
"2012-09-24",23
"2012-09-25",34
"2012-09-26",127
"2012-09-27",83
"2012-09-28",24
"2012-09-29",2
"2012-09-30",7
"2012-10-01",22
"2012-10-02",165
"2012-10-03",615
"2012-10-04",35
"2012-10-05",11
"2012-10-06",35
"2012-10-07",2058
"2012-10-08",2
"2012-10-09",1
"2012-10-10",50
"2012-10-11",508
"2012-10-12",16
"2012-10-13",795
"2012-10-14",2
"2012-10-15",173
"2012-10-16",15
"2012-10-17",4
"2012-10-18",1003
"2012-10-19",1061
"2012-10-20",207
"2012-10-21",9
"2012-10-22",17
"2012-10-23",832
"2012-10-24",1992
"2012-10-25",9
"2012-10-26",107
"2012-10-27",12
"2012-10-28",3
"2012-10-29",9664
"2012-10-30",2776
"2012-10-31",192
"2012-11-01",9
"2012-11-02",2976
"2012-11-03",33
"2012-11-04",97
"2012-11-05",145
"2012-11-06",1171
"2012-11-07",2
"2012-11-08",30
"2012-11-09",43
"2012-11-11",143
"2012-11-12",77
"2012-11-13",414
"2012-11-14",227
"2012-11-16",3
"2012-11-17",297
"2012-11-18",344
"2012-11-19",37
"2012-11-20",983
"2012-11-21",6
"2012-11-22",8
"2012-11-23",63
"2012-11-24",1
"2012-11-25",555
"2012-11-26",2
"2012-11-28",18
"2012-11-29",20
"2012-12-01",2
"2012-12-02",13
"2012-12-03",97
"2012-12-04",2786
"2012-12-05",11
"2012-12-06",18
"2012-12-08",3
"2012-12-10",279
"2012-12-11",52
"2012-12-12",23
"2012-12-13",320
"2012-12-14",112
"2012-12-15",7
"2012-12-16",33
"2012-12-17",1554
"2012-12-18",66
"2012-12-19",1902
"2012-12-20",45
"2012-12-21",4268
"2012-12-22",49
"2012-12-23",15
"2012-12-24",3
"2012-12-26",2363
"2012-12-27",3441
"2012-12-29",97
"2012-12-30",9
"2013-01-02",4
"2013-01-03",955
"2013-01-05",67
"2013-01-07",21
"2013-01-08",1546
"2013-01-09",197
"2013-01-10",1184
"2013-01-11",142
"2013-01-12",2
"2013-01-13",10
"2013-01-14",18
"2013-01-15",1
"2013-01-17",1
"2013-01-18",60
"2013-01-19",25
"2013-01-20",3970
"2013-01-21",1
"2013-01-22",33
"2013-01-24",43
"2013-01-26",4
"2013-01-29",3
"2013-01-30",4371
"2013-01-31",2144
"2013-02-01",202
"2013-02-02",9
"2013-02-03",28
"2013-02-06",36
"2013-02-07",1
"2013-02-08",24
"2013-02-09",6
"2013-02-10",1
"2013-02-11",198
"2013-02-12",32
"2013-02-13",1
"2013-02-14",1
"2013-02-15",334
"2013-02-16",28
"2013-02-17",768
"2013-02-18",10
"2013-02-19",7
"2013-02-21",264
"2013-02-23",33
"2013-02-24",5
"2013-02-25",2
"2013-02-26",421
"2013-02-27",851
"2013-02-28",44
"2013-03-01",3
"2013-03-02",22
"2013-03-03",1
"2013-03-04",6
"2013-03-06",23
"2013-03-08",3
"2013-03-09",1641
"2013-03-10",864
"2013-03-11",93
"2013-03-12",33
"2013-03-13",86
"2013-03-14",19
"2013-03-18",1
"2013-03-19",8
"2013-03-20",18
"2013-03-21",20
"2013-03-22",78
"2013-03-23",2
"2013-03-24",45
"2013-03-25",4
"2013-03-26",55
"2013-03-27",53
"2013-03-28",1
"2013-03-29",2
"2013-03-30",12
"2013-03-31",9
"2013-04-01",229
"2013-04-02",79
"2013-04-03",2
"2013-04-04",1
"2013-04-05",5
"2013-04-06",2
"2013-04-07",127
"2013-04-08",56
"2013-04-09",1
"2013-04-10",62
"2013-04-11",227
"2013-04-12",2
"2013-04-13",13
"2013-04-14",14
"2013-04-15",6
"2013-04-16",2369
"2013-04-17",201
"2013-04-18",349
"2013-04-19",2588
"2013-04-20",97
"2013-04-22",18
"2013-04-23",226
"2013-04-24",9
"2013-04-25",1
"2013-04-26",62
"2013-04-27",11
"2013-04-29",1
"2013-04-30",71
"2013-05-01",18
"2013-05-02",17
"2013-05-03",93
"2013-05-04",2
"2013-05-05",11
"2013-05-06",3
"2013-05-07",3
"2013-05-08",718
"2013-05-09",1028
"2013-05-10",736
"2013-05-11",12
"2013-05-12",4
"2013-05-13",1679
"2013-05-14",135
"2013-05-15",10
"2013-05-16",3216
"2013-05-17",1012
"2013-05-18",9
"2013-05-19",531
"2013-05-20",45
"2013-05-21",378
"2013-05-22",978
"2013-05-23",64
"2013-05-24",771
"2013-05-25",8919
"2013-05-26",203
"2013-05-27",3
"2013-05-28",9
"2013-05-29",133
"2013-05-30",119
"2013-05-31",2858
"2013-06-01",20
"2013-06-02",8129
"2013-06-03",369
"2013-06-04",13
"2013-06-05",10
"2013-06-06",10
"2013-06-07",11
"2013-06-08",17
"2013-06-09",9
"2013-06-10",61
"2013-06-11",131
"2013-06-12",93
"2013-06-13",162
"2013-06-14",70
"2013-06-15",99
"2013-06-16",135
"2013-06-17",735
"2013-06-18",1
"2013-06-19",1392
"2013-06-20",35
"2013-06-21",120
"2013-06-22",490
"2013-06-23",1070
"2013-06-24",2264
"2013-06-25",1527
"2013-06-26",1623
"2013-06-27",784
"2013-06-28",2115
"2013-06-29",7275
"2013-06-30",55
"2013-07-01",306
"2013-07-02",202
"2013-07-03",170
"2013-07-04",6775
"2013-07-05",177
"2013-07-06",164
"2013-07-07",734
"2013-07-08",200
"2013-07-09",68
"2013-07-10",286
"2013-07-11",171
"2013-07-12",45
"2013-07-13",155
"2013-07-14",4
"2013-07-15",112
"2013-07-16",2
"2013-07-17",2308
"2013-07-18",237
"2013-07-19",3800
"2013-07-20",370
"2013-07-21",252
"2013-07-22",255
"2013-07-23",1504
"2013-07-24",271
"2013-07-25",312
"2013-07-26",5
"2013-07-27",137
"2013-07-28",30
"2013-07-29",203
"2013-07-30",180
"2013-07-31",5284
"2013-08-01",172
"2013-08-02",58
"2013-08-03",45
"2013-08-04",314
"2013-08-05",60
"2013-08-06",16
"2013-08-07",3
"2013-08-08",19
"2013-08-09",2275
"2013-08-10",728
"2013-08-11",57
"2013-08-12",110
"2013-08-13",23
"2013-08-14",190
"2013-08-15",3
"2013-08-16",11
"2013-08-17",51
"2013-08-18",24
"2013-08-19",116
"2013-08-20",38
"2013-08-21",16
"2013-08-22",997
"2013-08-23",1044
"2013-08-25",39
"2013-08-26",24
"2013-08-27",100
"2013-08-28",263
"2013-08-29",62
"2013-08-30",3
"2013-08-31",70
"2013-09-01",1715
"2013-09-02",3231
"2013-09-03",10
"2013-09-04",13
"2013-09-05",32
"2013-09-06",11
"2013-09-07",16
"2013-09-08",751
"2013-09-09",6
"2013-09-10",1700
"2013-09-11",6212
"2013-09-12",1683
"2013-09-13",988
"2013-09-14",832
"2013-09-15",54
"2013-09-16",34
"2013-09-17",149
"2013-09-18",11
"2013-09-19",31
"2013-09-20",6
"2013-09-21",658
"2013-09-22",127
"2013-09-23",89
"2013-09-24",1
"2013-09-25",2
"2013-09-27",4
"2013-09-28",43
"2013-09-29",7
"2013-09-30",6
"2013-10-01",1969
"2013-10-02",18
"2013-10-03",1
"2013-10-04",7
"2013-10-05",171
"2013-10-06",53
"2013-10-07",4144
"2013-10-08",93
"2013-10-09",1576
"2013-10-10",27
"2013-10-12",816
"2013-10-13",2024
"2013-10-14",3
"2013-10-15",66
"2013-10-16",48
"2013-10-17",81
"2013-10-18",311
"2013-10-19",12
"2013-10-20",382
"2013-10-21",59
"2013-10-22",4
"2013-10-23",26
"2013-10-24",14
"2013-10-25",51
"2013-10-26",159
"2013-10-27",340
"2013-10-28",13
"2013-10-29",1144
"2013-10-30",21
"2013-10-31",531
"2013-11-01",2136
"2013-11-02",39
"2013-11-03",144
"2013-11-04",4
"2013-11-05",9
"2013-11-06",320
"2013-11-07",31
"2013-11-08",125
"2013-11-09",98
"2013-11-10",35
"2013-11-11",20
"2013-11-12",3
"2013-11-13",97
"2013-11-14",1521
"2013-11-15",8
"2013-11-16",791
"2013-11-17",2
"2013-11-18",600
"2013-11-19",116
"2013-11-20",1
"2013-11-21",268
"2013-11-22",326
"2013-11-23",35
"2013-11-24",3841
"2013-11-25",46
"2013-11-26",26
"2013-11-27",794
"2013-11-28",27
"2013-11-29",18
"2013-11-30",36
"2013-12-01",39
"2013-12-02",4
"2013-12-03",26
"2013-12-04",88
"2013-12-05",1
"2013-12-06",1040
"2013-12-07",20
"2013-12-08",14
"2013-12-09",5
"2013-12-10",43
"2013-12-11",31
"2013-12-12",766
"2013-12-13",1
"2013-12-14",3463
"2013-12-15",200
"2013-12-16",987
"2013-12-18",9
"2013-12-19",4
"2013-12-20",194
"2013-12-21",216
"2013-12-22",16699
"2013-12-23",3216
"2013-12-24",705
"2013-12-25",15
"2013-12-26",44
"2013-12-27",703
"2013-12-28",140
"2013-12-29",980
"2013-12-30",647
"2014-01-01",33
"2014-01-02",20
"2014-01-03",7
"2014-01-04",1489
"2014-01-05",18
"2014-01-06",249
"2014-01-07",9
"2014-01-08",10
"2014-01-09",1
"2014-01-10",74
"2014-01-11",75
"2014-01-12",25
"2014-01-14",12
"2014-01-15",158
"2014-01-16",13
"2014-01-17",2
"2014-01-18",3191
"2014-01-20",1
"2014-01-22",14
"2014-01-23",4
"2014-01-24",14
"2014-01-25",1
"2014-01-26",3
"2014-01-27",32
"2014-01-28",37
"2014-01-29",29
"2014-01-31",68
"2014-02-01",26
"2014-02-03",33
"2014-02-04",16
"2014-02-06",1
"2014-02-07",28
"2014-02-08",4
"2014-02-09",181
"2014-02-11",25
"2014-02-13",100
"2014-02-14",2322
"2014-02-15",2
"2014-02-16",1652
"2014-02-17",5
"2014-02-19",1
"2014-02-20",19
"2014-02-21",3014
"2014-02-22",1025
"2014-02-23",38
"2014-02-24",28
"2014-02-25",155
"2014-02-26",6
"2014-02-27",3
"2014-02-28",1
"2014-03-02",83
"2014-03-03",34
"2014-03-04",77
"2014-03-05",10
"2014-03-06",3
"2014-03-07",44
"2014-03-08",12
"2014-03-09",3
"2014-03-10",15
"2014-03-11",3
"2014-03-12",107
"2014-03-13",24
"2014-03-14",49
"2014-03-15",1963
"2014-03-16",1477
"2014-03-17",870
"2014-03-18",1392
"2014-03-19",1
"2014-03-20",898
"2014-03-21",245
"2014-03-22",209
"2014-03-24",19
"2014-03-25",1
"2014-03-28",303
"2014-03-29",29
"2014-03-30",325
"2014-03-31",17
"2014-04-01",33
"2014-04-02",1
"2014-04-03",13
"2014-04-04",135
"2014-04-05",749
"2014-04-06",996
"2014-04-07",2971
"2014-04-08",2153
"2014-04-09",377
"2014-04-10",8982
"2014-04-11",599
"2014-04-12",1216
"2014-04-13",120
"2014-04-14",1680
"2014-04-15",436
"2014-04-16",749
"2014-04-17",262
"2014-04-18",109
"2014-04-19",2541
"2014-04-20",159
"2014-04-21",295
"2014-04-22",247
"2014-04-23",516
"2014-04-24",5239
"2014-04-25",858
"2014-04-26",2359
"2014-04-27",1773
"2014-04-28",171
"2014-04-29",866
"2014-04-30",2413
"2014-05-01",261
"2014-05-02",998
"2014-05-03",1522
"2014-05-04",4078
"2014-05-05",182
"2014-05-06",237
"2014-05-07",388
"2014-05-08",1673
"2014-05-09",722
"2014-05-10",418
"2014-05-11",353
"2014-05-12",2049
"2014-05-13",221
"2014-05-14",587
"2014-05-15",854
"2014-05-16",2156
"2014-05-17",1673
"2014-05-18",67
"2014-05-19",1986
"2014-05-20",300
"2014-05-21",855
"2014-05-22",1147
"2014-05-23",1128
"2014-05-24",760
"2014-05-25",391
"2014-05-26",1207
"2014-05-27",3982
"2014-05-28",506
"2014-05-29",662
"2014-05-30",870
"2014-05-31",1208
"2014-06-01",264
"2014-06-02",416
"2014-06-03",1310
"2014-06-04",1644
"2014-06-05",45
"2014-06-06",189
"2014-06-07",131
"2014-06-08",668
"2014-06-09",258
"2014-06-10",48
"2014-06-11",6473
"2014-06-12",4899
"2014-06-13",1610
"2014-06-14",2683
"2014-06-15",300
"2014-06-16",1672
"2014-06-17",4021
"2014-06-18",3554
"2014-06-19",104
"2014-06-20",902
"2014-06-21",664
"2014-06-22",279
"2014-06-23",200
"2014-06-24",245
"2014-06-25",5179
"2014-06-26",650
"2014-06-27",444
"2014-06-28",95
"2014-06-29",522
"2014-06-30",642
"2014-07-01",1318
"2014-07-02",4573
"2014-07-03",22598
"2014-07-04",4521
"2014-07-05",7803
"2014-07-06",1096
"2014-07-07",2143
"2014-07-08",28376
"2014-07-09",9854
"2014-07-10",541
"2014-07-11",674
"2014-07-12",2924
"2014-07-13",771
"2014-07-14",336
"2014-07-15",445
"2014-07-16",2897
"2014-07-17",1765
"2014-07-18",6737
"2014-07-19",282
"2014-07-20",62
"2014-07-21",358
"2014-07-22",118
"2014-07-23",8058
"2014-07-24",688
"2014-07-25",245
"2014-07-26",1229
"2014-07-27",3278
"2014-07-28",3975
"2014-07-29",195
"2014-07-30",2055
"2014-07-31",1964
"2014-08-01",1333
"2014-08-02",671
"2014-08-03",1248
"2014-08-04",1860
"2014-08-05",695
"2014-08-06",473
"2014-08-07",467
"2014-08-08",2303
"2014-08-09",469
"2014-08-10",715
"2014-08-11",1361
"2014-08-12",1759
"2014-08-13",3618
"2014-08-14",1205
"2014-08-15",437
"2014-08-16",455
"2014-08-17",308
"2014-08-18",467
"2014-08-19",217
"2014-08-20",771
"2014-08-21",1443
"2014-08-22",1301
"2014-08-23",555
"2014-08-24",197
"2014-08-25",800
"2014-08-26",562
"2014-08-27",228
"2014-08-28",388
"2014-08-29",2156
"2014-08-30",4250
"2014-08-31",303
"2014-09-01",541
"2014-09-02",776
"2014-09-03",575
"2014-09-04",330
"2014-09-05",1105
"2014-09-06",2975
