"id","csv_id","feeder_id","incident_id","time_of_outage","cause_code","cause_description","customer","time_restored","time_restored_est","latitude","longitude","count( outage.`cause_description`)"
21200,235830,"SA-G23",189945,"8/27/2014 3:29:15 PM",170,"10 OTHER",1,"8/27/2014 4:13:26 PM","8/27/2014 5:13:26 PM",43.9094111111,-73.1013788889,1421
5,261963,"RO-G62",192563,"9/17/2014 12:20:06 PM",171,"11 Unknown",12,"9/17/2014 1:40:31 PM","9/17/2014 2:40:31 PM",43.8666511111,-72.8444988889,13445
1001,390398,"WM-G91",192412,"9/15/2014 1:34:38 PM",111,"1A TREE Wind - Out ROW",8,"9/15/2014 3:00:15 PM","9/15/2014 4:00:15 PM",44.6540911111,-73.1107688889,91459
939,394226,"WM-G91",192439,"9/16/2014 5:11:54 AM",112,"1B TREE Wind - In ROW",14,"9/16/2014 7:44:07 AM","9/16/2014 8:04:59 AM",44.7288511111,-73.1431288889,102732
5211,322248,"QU-G16",191877,"9/11/2014 8:45:54 AM",113,"1C TREE Snow/Ice - Out ROW",1,"9/11/2014 9:28:02 AM","9/11/2014 10:28:02 AM",43.5756711111,-72.4055788889,4911
27553,388893,"UH-G23",188893,"8/18/2014 1:49:32 PM",114,"1D TREE Snow/Ice - In ROW",5,"8/18/2014 3:56:46 PM","8/18/2014 4:56:46 PM",44.5125811111,-72.9669088889,4689
199,370804,"BA-G71",192504,"9/16/2014 11:48:11 AM",115,"1E TREE - Other - Out ROW",1,"9/16/2014 1:05:39 PM","9/16/2014 1:59:21 PM",44.4197311111,-72.0353188889,36664
66,294149,"WF-G23",192544,"9/17/2014 8:22:38 AM",116,"1F TREE - Other - In ROW",1,"9/17/2014 1:20:25 PM","9/17/2014 2:20:25 PM",43.3689311111,-73.0651988889,25161
2994,366253,"H2-G60",192133,"9/12/2014 8:18:47 PM",117,"1G TREE - Other - Limb",97,"9/12/2014 11:01:59 PM","9/12/2014 11:45:12 PM",42.7700611111,-72.6718488889,8254
18619,250599,"WY-G81",190324,"8/30/2014 2:18:27 AM",119,"2D WEATHER - Flooding",13,"8/30/2014 4:15:20 AM","8/30/2014 5:15:20 AM",44.0241211111,-73.3950588889,64
7550,356342,"BS-G32",191562,"9/8/2014 9:04:30 AM",118,"2D WEATHER - Lightning",1,"9/8/2014 10:20:10 AM","9/8/2014 11:20:10 AM",42.8285911111,-72.6576488889,48359
260331,250350,"BR-G71",161869,"4/17/2014 12:31:13 AM",120,"2D WEATHER - Snow Load/Wire Slap",1,"4/17/2014 2:21:55 AM","4/17/2014 2:54:51 AM",43.8644911111,-73.0709288889,1928
54468,352684,"BL-G24",185767,"7/28/2014 11:31:11 AM",121,"2E WEATHER - Other",1,"7/28/2014 12:05:11 PM","7/28/2014 1:05:11 PM",43.2359011111,-72.9063988889,11303
24233,245432,"HR-G38",189468,"8/22/2014 8:54:13 AM",122,"3A GMP - Emergency",21,"8/22/2014 1:16:34 PM","8/22/2014 1:43:05 PM",44.0604211111,-72.9796188889,3034
